,0,1
Cost Savings__0,0.07224676706804978,-0.32132560121690373
Cost Savings__1,-0.3901325421674678,1.7351582465712811
Enhanced Security__0,0.6054824905524209,-0.3044639920322106
Enhanced Security__1,-0.7784774878531121,0.39145370404141383
I Did Not See Any Benefit__0,-0.3258668953254124,-0.037818254582164625
I Did Not See Any Benefit__1,2.2810682672778886,0.2647277820751532
Improved Compliance__0,0.07081870750536445,0.2649697880939441
Improved Compliance__1,-0.3068810658565786,-1.1482024150737578
Minimized Lateral Movement__0,0.23199769343406992,0.15852541729877206
Minimized Lateral Movement__1,-0.8285631908359635,-0.5661622046384712
Reduced Attack Surface__0,0.09651087365541287,0.32778849159035556
Reduced Attack Surface__1,-0.22857838497334582,-0.776341164292947
Simplified Remote Access__0,0.06071459950447056,-0.03500281955483171
Simplified Remote Access__1,-0.32785883732413995,0.18901522559609188
